x1,  y1,  x2,  y2,  x3,  y3,  x4,  y4,  
565,287,  1893,281,  565,1581,  1897,1573,  
569,1709,  1901,1701,  573,3004,  1905,3000.

561,282,  1889,282,  561,1582,  1901,1586.
561,1710,  1889,1702,  565,3009,  1901,3017.

569,289,  1909,285,  573,1589,  1905,1585.
569,1713,  1905,1713,  565,3017,  1909,3017.

569,300,  1897,292,  569,1596,  1909,1592.
565,1721,  1901,1717,  573,3021,  1905,3017.

573,277,  1901,277,  565,1577,  1905,1573.
573,1705,  1905,1701,  569,3005,  1905,3005.
